,dhi,dirhi,pressure,temp_air,v_wind,z0
2010-01-01 00:00:00+01:00,0,0,98405.7,267.6,5.32697,0.15
2010-01-01 01:00:00+01:00,0,0,98382.7,267.6,5.46199,0.15
2010-01-01 02:00:00+01:00,0,0,98362.9,267.61,5.67899,0.15
2010-01-01 03:00:00+01:00,0,0,98340.9,267.63,5.68466,0.15
2010-01-01 04:00:00+01:00,0,0,98336.8,267.63,5.38084,0.15
2010-01-01 05:00:00+01:00,1.22362E-008,0,98334.2,267.61,5.28286,0.15
2010-01-01 06:00:00+01:00,2.94276E-007,0,98324.6,267.55,5.43709,0.15
2010-01-01 07:00:00+01:00,0.135075,3.74371E-031,98345.1,267.51,5.49162,0.15
2010-01-01 08:00:00+01:00,5288,9.18142E-005,98394.9,267.48,5.52631,0.15
2010-01-01 09:00:00+01:00,54.4989,0.0206812,98446.6,267.67,5.57199,0.15
2010-01-01 10:00:00+01:00,105473,0.600108,98486,267.95,5.38384,0.15
2010-01-01 11:00:00+01:00,141815,4.10906,98568,268.27,5.31816,0.15
2010-01-01 12:00:00+01:00,148124,3.08351,98609.2,268.49,5.92008,0.15
2010-01-01 13:00:00+01:00,127909,2.25791,98716.8,268.61,5.50331,0.15
2010-01-01 14:00:00+01:00,81299,0.196245,98834.5,268.56,5.16204,0.15
2010-01-01 15:00:00+01:00,26877,7.91127E-007,98911.4,268.38,4.94334,0.15
2010-01-01 16:00:00+01:00,3.55274E-007,0,98999,268.22,4.62725,0.15
2010-01-01 17:00:00+01:00,3.76541E-007,0,99083,268.11,4.20744,0.15
2010-01-01 18:00:00+01:00,3.85331E-007,0,99166.6,267.98,3.96008,0.15
2010-01-01 19:00:00+01:00,3.72127E-007,0,99249.6,267.8,4.18155,0.15
2010-01-01 20:00:00+01:00,0,0,99299.1,267.44,4.38756,0.15
2010-01-01 21:00:00+01:00,0,0,99355,266.96,4.35175,0.15
2010-01-01 22:00:00+01:00,0,0,99414.6,266.48,4.19387,0.15
2010-01-01 23:00:00+01:00,0,0,99489.6,266.09,3.95468,0.15
2010-01-02 00:00:00+01:00,0,0,99571.5,265.77,3.80391,0.15
2010-01-02 01:00:00+01:00,0,0,99650.6,265.5,3.75341,0.15
2010-01-02 02:00:00+01:00,0,0,99725.8,265.17,3.68452,0.15
2010-01-02 03:00:00+01:00,0,0,99808.4,264.52,3.64885,0.15
2010-01-02 04:00:00+01:00,0,0,99902.3,263.77,3.64895,0.15
2010-01-02 05:00:00+01:00,1.80514E-008,0,99984,262.95,3.26095,0.15
2010-01-02 06:00:00+01:00,4.33596E-007,0,100051,262.39,2.82002,0.15
2010-01-02 07:00:00+01:00,0.186836,2.18191E-012,100127,261.87,2.63831,0.15
2010-01-02 08:00:00+01:00,6.92064,0.306338,100213,261.44,2.60467,0.15
2010-01-02 09:00:00+01:00,64.5092,8.97566,100301,261.65,2.48291,0.15
2010-01-02 10:00:00+01:00,100586,48.1678,100361,261.92,2.27491,0.15
2010-01-02 11:00:00+01:00,111845,91.2637,100411,262.18,2.05207,0.15
2010-01-02 12:00:00+01:00,112135,102664,100456,262.4,1.84496,0.15
2010-01-02 13:00:00+01:00,99.9588,82502,100502,262.39,1.71002,0.15
2010-01-02 14:00:00+01:00,72.7403,42.7024,100544,262.11,1.65912,0.15
2010-01-02 15:00:00+01:00,32.1374,5.35555,100588,261.71,1.85037,0.15
2010-01-02 16:00:00+01:00,4.60226E-007,0,100623,261.44,2.05926,0.15
2010-01-02 17:00:00+01:00,4.31237E-007,0,100659,261.92,2.19697,0.15
2010-01-02 18:00:00+01:00,4.48085E-007,0,100681,262.12,2.36407,0.15
2010-01-02 19:00:00+01:00,4.30852E-007,0,100680,262.12,2.68317,0.15
2010-01-02 20:00:00+01:00,0,0,100665,262.11,2.88922,0.15
2010-01-02 21:00:00+01:00,0,0,100666,263.05,2.82869,0.15
2010-01-02 22:00:00+01:00,0,0,100671,263.87,2.90343,0.15
2010-01-02 23:00:00+01:00,0,0,100673,264.67,3.00159,0.15
2010-01-03 00:00:00+01:00,0,0,100667,265.4,3.05818,0.15
2010-01-03 01:00:00+01:00,0,0,100665,266.02,3.00373,0.15
2010-01-03 02:00:00+01:00,0,0,100680,266.43,2.75149,0.15
2010-01-03 03:00:00+01:00,0,0,100679,266.7,2.51612,0.15
2010-01-03 04:00:00+01:00,0,0,100674,266.92,2.37815,0.15
2010-01-03 05:00:00+01:00,1.60631E-008,0,100665,267.08,2.15363,0.15
2010-01-03 06:00:00+01:00,3.85273E-007,0,100661,267.25,2.02063,0.15
2010-01-03 07:00:00+01:00,0.165966,2.30312E-014,100659,267.42,1.95815,0.15
2010-01-03 08:00:00+01:00,6.25974,0.00441249,100658,267.55,1.97792,0.15
2010-01-03 09:00:00+01:00,60.9651,0.274703,100660,268.08,2.55804,0.15
2010-01-03 10:00:00+01:00,116362,4.35594,100694,268.45,3.32156,0.15
2010-01-03 11:00:00+01:00,150592,8.73788,100735,268.53,3.6103,0.15
2010-01-03 12:00:00+01:00,154858,4.2911,100768,268.44,3.44013,0.15
2010-01-03 13:00:00+01:00,132519,2.2575,100796,268.23,2.96,0.15
2010-01-03 14:00:00+01:00,89.6368,2.39463,100837,267.75,2.35225,0.15
2010-01-03 15:00:00+01:00,34.4499,1.13337,100866,266.4,2.01119,0.15
2010-01-03 16:00:00+01:00,4.57839E-007,0,100887,264.81,2.11988,0.15
2010-01-03 17:00:00+01:00,4.65468E-007,0,100918,263.67,2.29444,0.15
2010-01-03 18:00:00+01:00,4.68781E-007,0,100952,262.72,2.27325,0.15
2010-01-03 19:00:00+01:00,4.51224E-007,0,100985,262,2.15235,0.15
2010-01-03 20:00:00+01:00,0,0,100994,261.32,1.89341,0.15
2010-01-03 21:00:00+01:00,0,0,101000,260.86,1.65454,0.15
2010-01-03 22:00:00+01:00,0,0,101008,260.51,1.52908,0.15
2010-01-03 23:00:00+01:00,0,0,101029,260.2,1.48863,0.15
2010-01-04 00:00:00+01:00,0,0,101045,259.9,1.4753,0.15
2010-01-04 01:00:00+01:00,0,0,101052,259.62,1.50899,0.15
2010-01-04 02:00:00+01:00,0,0,101037,259.45,1.28043,0.15
2010-01-04 03:00:00+01:00,0,0,100998,259.31,1.10342,0.15
2010-01-04 04:00:00+01:00,0,0,100954,259.15,1.06461,0.15
2010-01-04 05:00:00+01:00,1.9779E-008,0,100920,259.09,0.92526,0.15
2010-01-04 06:00:00+01:00,4.74697E-007,0,100881,259.01,0.825706,0.15
2010-01-04 07:00:00+01:00,0.207992,0.000234679,100838,258.6,0.701859,0.15
