,dhi,dirhi,pressure,temp_air,v_wind,z0
2010-01-01 00:00:00+01:00,0.0,0.0,98405.7,267566,7.80697,0.15
2010-01-01 01:00:00+01:00,0.0,0.0,98382.7,267546,7.86199,0.15
2010-01-01 02:00:00+01:00,0.0,0.0,98362.9,267537,8.59899,0.15
2010-01-01 03:00:00+01:00,0.0,0.0,98340.9,267.56,7.89466,0.15
2010-01-01 04:00:00+01:00,0.0,0.0,98336.8,267608,7.57084,0.15
2010-01-01 05:00:00+01:00,1.22362e-08,0.0,98334.2,267547,7.51286,0.15
2010-01-01 06:00:00+01:00,2.94276e-07,0.0,98324.6,267516,7.73709,0.15
2010-01-01 07:00:00+01:00,0.135075,3.74371e-31,98345.1,267456,8.22162,0.15
2010-01-01 08:00:00+01:00,5288,9.18142e-05,98394.9,267452,7.76631,0.15
2010-01-01 09:00:00+01:00,54.4989,0.0206812,98446.6,267.6,7.74199,0.15
2010-01-01 10:00:00+01:00,105473,0.600108,98486.0,267884,7.94384,0.15
2010-01-01 11:00:00+01:00,141815,4.10906,98568.0,268193,7.75816,0.15
2010-01-01 12:00:00+01:00,148124,3.08351,98609.2,268455,8.36008,0.15
2010-01-01 13:00:00+01:00,127909,2.25791,98716.8,268533,7.95331,0.15
2010-01-01 14:00:00+01:00,81299,0.196245,98834.5,268484,7.98204,0.15
2010-01-01 15:00:00+01:00,26877,7.91127e-07,98911.4,268352,7.82334,0.15
2010-01-01 16:00:00+01:00,3.55274e-07,0.0,98999.0,268147,7.75725,0.15
2010-01-01 17:00:00+01:00,3.76541e-07,0.0,99083.0,268.07,6.54744,0.15
2010-01-01 18:00:00+01:00,3.85331e-07,0.0,99166.6,267903,6.37008,0.15
2010-01-01 19:00:00+01:00,3.72127e-07,0.0,99249.6,267749,6.53155,0.15
2010-01-01 20:00:00+01:00,0.0,0.0,99299.1,267377,6.72756,0.15
2010-01-01 21:00:00+01:00,0.0,0.0,99355.0,266924,6.59175,0.15
2010-01-01 22:00:00+01:00,0.0,0.0,99414.6,266453,7.05387,0.15
2010-01-01 23:00:00+01:00,0.0,0.0,99489.6,266027,6.29468,0.15
2010-01-02 00:00:00+01:00,0.0,0.0,99571.5,265721,6.40391,0.15
2010-01-02 01:00:00+01:00,0.0,0.0,99650.6,265473,6.43341,0.15
2010-01-02 02:00:00+01:00,0.0,0.0,99725.8,265.1,6.60452,0.15
2010-01-02 03:00:00+01:00,0.0,0.0,99808.4,264479,6.15885,0.15
2010-01-02 04:00:00+01:00,0.0,0.0,99902.3,263741,6.21895,0.15
2010-01-02 05:00:00+01:00,1.80514e-08,0.0,99984.0,262878,6.01095,0.15
2010-01-02 06:00:00+01:00,4.33596e-07,0.0,100051.0,262357,4.99002,0.15
2010-01-02 07:00:00+01:00,0.186836,2.18191e-12,100127.0,261829,5.54831,0.15
2010-01-02 08:00:00+01:00,6.92064,0.306338,100213.0,261.4,5.62467,0.15
2010-01-02 09:00:00+01:00,64.5092,8.97566,100301.0,261621,5.44291,0.15
2010-01-02 10:00:00+01:00,100586,48.1678,100361.0,261894,5.25491,0.15
2010-01-02 11:00:00+01:00,111845,91.2637,100411.0,262134,5.13207,0.15
2010-01-02 12:00:00+01:00,112135,102664,100456.0,262336,4.89496,0.15
2010-01-02 13:00:00+01:00,99.9588,82502,100502.0,262354,4.85002,0.15
2010-01-02 14:00:00+01:00,72.7403,42.7024,100544.0,262035,4.31912,0.15
2010-01-02 15:00:00+01:00,32.1374,5.35555,100588.0,261647,4.00037,0.15
2010-01-02 16:00:00+01:00,4.60226e-07,0.0,100623.0,261412,4.22926,0.15
2010-01-02 17:00:00+01:00,4.31237e-07,0.0,100659.0,261867,5.28697,0.15
2010-01-02 18:00:00+01:00,4.48085e-07,0.0,100681.0,262056,4.81407,0.15
2010-01-02 19:00:00+01:00,4.30852e-07,0.0,100680.0,262084,5.15317,0.15
2010-01-02 20:00:00+01:00,0.0,0.0,100665.0,262066,5.27922,0.15
2010-01-02 21:00:00+01:00,0.0,0.0,100666.0,262999,5.96869,0.15
2010-01-02 22:00:00+01:00,0.0,0.0,100671.0,263835,5.11343,0.15
2010-01-02 23:00:00+01:00,0.0,0.0,100673.0,264639,5.38159,0.15
2010-01-03 00:00:00+01:00,0.0,0.0,100667.0,265.33,5.38818,0.15
2010-01-03 01:00:00+01:00,0.0,0.0,100665.0,265989,5.49373,0.15
2010-01-03 02:00:00+01:00,0.0,0.0,100680.0,266376,5.34149,0.15
2010-01-03 03:00:00+01:00,0.0,0.0,100679.0,266646,5.05612,0.15
2010-01-03 04:00:00+01:00,0.0,0.0,100674.0,266871,4.96815,0.15
2010-01-03 05:00:00+01:00,1.60631e-08,0.0,100665.0,267018,4.45363,0.15
2010-01-03 06:00:00+01:00,3.85273e-07,0.0,100661.0,267221,4.76063,0.15
2010-01-03 07:00:00+01:00,0.165966,2.30312e-14,100659.0,267344,5.01815,0.15
2010-01-03 08:00:00+01:00,6.25974,0.00441249,100658.0,267477,4.82792,0.15
2010-01-03 09:00:00+01:00,60.9651,0.274703,100660.0,268012,5.06804,0.15
2010-01-03 10:00:00+01:00,116362,4.35594,100694.0,268413,5.74156,0.15
2010-01-03 11:00:00+01:00,150592,8.73788,100735.0,268505,5.8803,0.15
2010-01-03 12:00:00+01:00,154858,4.2911,100768.0,268376,6.56013,0.15
2010-01-03 13:00:00+01:00,132519,2.2575,100796.0,268182,5.42,0.15
2010-01-03 14:00:00+01:00,89.6368,2.39463,100837.0,267709,5.39225,0.15
2010-01-03 15:00:00+01:00,34.4499,1.13337,100866.0,266.32,5.01119,0.15
2010-01-03 16:00:00+01:00,4.57839e-07,0.0,100887.0,264759,4.38988,0.15
2010-01-03 17:00:00+01:00,4.65468e-07,0.0,100918.0,263626,5.16444,0.15
2010-01-03 18:00:00+01:00,4.68781e-07,0.0,100952.0,262681,5.20325,0.15
2010-01-03 19:00:00+01:00,4.51224e-07,0.0,100985.0,261.97,4.32235,0.15
2010-01-03 20:00:00+01:00,0.0,0.0,100994.0,261251,4.76341,0.15
2010-01-03 21:00:00+01:00,0.0,0.0,101000.0,260825,4.09454,0.15
2010-01-03 22:00:00+01:00,0.0,0.0,101008.0,260435,3.71908,0.15
2010-01-03 23:00:00+01:00,0.0,0.0,101029.0,260129,4.38863,0.15
2010-01-04 00:00:00+01:00,0.0,0.0,101045.0,259839,3.8553,0.15
2010-01-04 01:00:00+01:00,0.0,0.0,101052.0,259568,4.00899,0.15
2010-01-04 02:00:00+01:00,0.0,0.0,101037.0,259367,3.51043,0.15
2010-01-04 03:00:00+01:00,0.0,0.0,100998.0,259.28,3.74342,0.15
2010-01-04 04:00:00+01:00,0.0,0.0,100954.0,259125,3.55461,0.15
2010-01-04 05:00:00+01:00,1.9779e-08,0.0,100920.0,259058,3.23526,0.15
2010-01-04 06:00:00+01:00,4.74697e-07,0.0,100881.0,258969,3.705706,0.15
2010-01-04 07:00:00+01:00,0.207992,0.000234679,100838.0,258522,3.391859,0.15
2010-01-04 08:00:00+01:00,6.89987,1.0772,100787.0,258455,3.296228,0.15
2010-01-04 09:00:00+01:00,52027,27.8733,100757.0,258837,2.955409,0.15
2010-01-04 10:00:00+01:00,81.2528,78.9422,100724.0,259573,3.622847,0.15
2010-01-04 11:00:00+01:00,96.7422,116558,100683.0,260284,3.703273,0.15
2010-01-04 12:00:00+01:00,99816,124908,100647.0,260807,3.010706,0.15
2010-01-04 13:00:00+01:00,90.6655,101189,100616.0,260972,2.901911,0.15
2010-01-04 14:00:00+01:00,68575,54.0398,100589.0,260717,3.415802,0.15
2010-01-04 15:00:00+01:00,32.4675,8.47714,100554.0,260205,2.835682,0.15
2010-01-04 16:00:00+01:00,4.75125e-07,0.0,100512.0,259711,3.782206,0.15
2010-01-04 17:00:00+01:00,4.74883e-07,0.0,100467.0,259411,2.945188,0.15
2010-01-04 18:00:00+01:00,4.7455e-07,0.0,100431.0,259289,2.733484,0.15
2010-01-04 19:00:00+01:00,4.5447e-07,0.0,100399.0,259199,3.297645,0.15
2010-01-04 20:00:00+01:00,0.0,0.0,100364.0,259193,2.860887,0.15
2010-01-04 21:00:00+01:00,0.0,0.0,100326.0,259121,2.519493,0.15
2010-01-04 22:00:00+01:00,0.0,0.0,100291.0,259.13,3.564469,0.15
2010-01-04 23:00:00+01:00,0.0,0.0,100256.0,259179,3.89613,0.15
2010-01-05 00:00:00+01:00,0.0,0.0,100220.0,259304,4.44263,0.15
2010-01-05 01:00:00+01:00,0.0,0.0,100181.0,259485,4.22889,0.15
2010-01-05 02:00:00+01:00,0.0,0.0,100140.0,260118,4.16231,0.15
2010-01-05 03:00:00+01:00,0.0,0.0,100091.0,259.86,3.99019,0.15
2010-01-05 04:00:00+01:00,0.0,0.0,100042.0,259689,4.20271,0.15
2010-01-05 05:00:00+01:00,1.9737e-08,0.0,99998.2,259514,3.91734,0.15
2010-01-05 06:00:00+01:00,4.73687e-07,0.0,99948.1,259379,3.421272,0.15
2010-01-05 07:00:00+01:00,0.220604,0.000325152,99886.7,259127,3.31976,0.15
2010-01-05 08:00:00+01:00,7.20507,1.08964,99818.8,258831,3.58298,0.15
2010-01-05 09:00:00+01:00,52.3945,28.1345,99756.1,259281,4.11233,0.15
2010-01-05 10:00:00+01:00,81.7178,79.5081,99696.6,259857,4.33909,0.15
2010-01-05 11:00:00+01:00,97.2652,117531,99642.5,260446,4.04126,0.15
2010-01-05 12:00:00+01:00,100409,126222,99582.7,260892,3.94238,0.15
2010-01-05 13:00:00+01:00,91.4228,102699,99521.3,261085,3.51889,0.15
