turbine_type,id,turbine_id,manufacturer,name,nominal_power,rotor_diameter,rotor_area,hub_height,max_speed_drive,wind_class_iec,wind_zone_dibt,power_density,power_density_2,calculated,has_power_curve,has_cp_curve,has_ct_curve,source
AD116/5000,82,88,Adwen/Areva,M5000-116,5000000,116,10567,90;102,14.8,,,473.1,2.1,True,True,False,False,https://www.wind-turbine-models.com/turbines/23-areva-m5000-116 ; https://www.thewindpower.net/turbine_en_1048_adwen_ad-5-132.php
AD132/5000,81,87,Adwen/Areva,AD 5-132,5000000,132,13683,80; 94,11.8,IEC IIA/IEC S,,365.4,2.7,,False,False,False,https://www.wind-turbine-models.com/turbines/1123-adwen-ad-5-132
AD135/5000,83,89,Adwen/Areva,M5000-135,5000000,135,14312,,13.5,IEC I (GL-TK 1 & GL-TK S),,349,2.9,,False,False,False,https://www.wind-turbine-models.com/turbines/686-areva-m5000-135
AD135/5050,80,86,Adwen/Areva,AD 5-135,5050000,135,14312,,13.5,IEC I (GL-TK 1 & GL-TK S),,352.5,2.8,,False,False,False,https://www.wind-turbine-models.com/turbines/1122-adwen-ad-5-135
AD180/8000,79,85,Adwen/Areva,AD 8-180,8000000,180,25444,,7.5,IEC Ib,,314.4,3.2,,False,False,False,https://www.wind-turbine-models.com/turbines/1124-adwen-ad-8-180;
AW100/3000,29,31,Nordex,,3000000,100,7853,100;,,,,,,,False,False,False,
AW116/3000,28,30,Nordex,,3000000,116,10567,92; 100; 120,,,,,,,False,False,False,
AW125/3000,27,29,Nordex,,3000000,125,12270,"87,5; 100; 120; 137,5",,,,,,,False,False,False,
AW132/3000,26,28,Nordex,,3000000,132,13683,84; 120,,,,,,,False,False,False,
AW140/3000,25,27,Nordex,,3000000,140,15392,,,,,,,,False,False,False,
AW70/1500,32,34,Nordex,,1500000,70,3848,60; 80,20.2,IEC la,,389.8,2.6,,False,False,False,http://www.acciona-windpower.com/products-and-services/aw1500/aw701500/; https://www.wind-turbine-models.com/turbines/777-acciona-aw-70-1500
AW77/1500,31,33,Nordex,,1500000,77,4656,60; 71.5; 80,18.3,IEC lla +,,325,3.1,,False,False,False,http://www.acciona-windpower.com/products-and-services/aw1500/aw771500/; https://www.wind-turbine-models.com/turbines/778-acciona-aw-77-1500
AW82/1500,30,32,Nordex,,1500000,82,5280,80,16.7,IEC lla,,283.6,3.5,,False,False,False,http://www.acciona-windpower.com/products-and-services/aw1500/aw821500/; https://www.wind-turbine-models.com/turbines/585-acciona-aw-82-1500
E-101/3050,4,5,Enercon,E-101/3050 E2,3050000,101,8011,99; 124; 135; 149,14.5,IEC/EN IIA,WZ III; WZ 4 GK I,380.7,2.6,True,True,True,False,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/
E-101/3500,2,3,Enercon,E-101/3500 E2,3500000,101,8011,74; 99,14.5,IEC/EN IA,WZ 4 GK I; WZ 4 GK II,436.8,2.3,True,True,True,False,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/
E-115/3000,5,6,Enercon,E-115/3000,3000000,116,10512,92; 122; 135; 149,12.8,IEC/EN IIA,WZIII; WZ4 GKI; WZ4 GK II,285.3,3.5,True,True,True,False,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/
E-115/3200,3,4,Enercon,E-115/3200,3200000,116,10512,92; 122; 135; 149,12.8,IEC/EN IIA,WZ 4 GKI; WZ 4 GK II,304.4,3.3,True,True,True,False,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/
