turbine_type,nominal_power
E-141/4200,4200
E-126/4200,4200
E-101/3500,3500
E-115/3200,3200
E-101/3050,3050
E-115/3000,3000
E-82/3000,3000
E-92/2350,2350
E-82/2350,2350
E-82/2300,2300
E-70/2300,2300
E-82/2000,2000
E-70/2000,2000
E-53/800,800
N131/3900,3900
N131/3600,3600
AD135/5050,5050
N131/3300,3300
N131/3000,3000
N117/3600,3600
N117/3000,3000
N117/2400,2400
N100/3300,3300
N100/2500,2500
V90/2000,2000
N90/2500,2500
N80/2500,2500
AW140/3000,3000
AW132/3000,3000
AW125/3000,3000
AW116/3000,3000
AW100/3000,3000
AW82/1500,1500
AW77/1500,1500
AW70/1500,1500
V164/8000,8000
V150/4200,4200
V136/4200,4200
V136/3450,3450
V105/3450,3450
V120/2200,2200
V116/2100,2100
V110/2000,2000
V100/2000,2000
V126/3450,3450
V80/2000,2000
SWT154/7000,7000
SWT154/6000,6000
SWT120/6000,6000
SWT130/4000,4000
V126/3300,3300
V126/3000,3000
V117/4200,4200
V117/4000,4000
V117/3450,3450
V117/3300,3300
SWT62/1300,1300
V112/3450,3450
V112/3300,3300
V112/3075,3075
V112/3000,3000
V90/3000,3000
AD180/8000,8000
SWT130/3600,3600
SWT120/3600,3600
SWT107/3600,3600
SWT130/3300,3300
SWT113/3200,3200
SWT108/3200,3200
SWT101/3200,3200
SWT142/3150,3150
SWT113/3000,3000
SWT108/3000,3000
SWT101/3000,3000
SWT120/2500,2500
SWT120/2300,2300
SWT113/2300,2300
SWT108/2300,2300
SWT101/2300,2300
SWT93/2300,2300
SWT82/2300,2300
AD132/5000,5000
AD116/5000,5000
AD135/5000,5000
S152/6330,6330
S152/6150,6150
S126/6150,6150
S114/3600,3600
S140/3600,3600
S114/3400,3400
S104/3400,3400
S122/3400,3400
S140/3400,3400
S114/3200,3200
ENO126/4800,4800
ENO126/4000,4000
ENO114/4000,4000
S122/3200,3200
S122/3000,3000
MM100/2000,2000
MM92/2050,2050
MM82/2050,2050
VS136/3500,3500
VS136/3000,3000
VS120/3000,3000
VS112/3000,3000
VS112/2500,2500
VS109/2500,2500
VS100/2500,2500
VS87/1500,1500
VS82/1500,1500
VS77/1500,1500
VS70/1500,1500
GE150/6000,6000
GE158/4800,4800
GE137/3600,3600
GE137/3400,3400
ENO126/3500,3500
ENO114/4800,4800
GE130/3200,3200
GE103/2850,3850
GE120/2750,2750
GE103/2750,2750
GE100/2750,2750
GE120/2500,2500
GE103/2500,2500
GE100/2500,2500
ENO114/3500,3500
ENO100/2200,2200
ENO92/2200,2200
ENO82/2050,2050
V164/9500,9500
E48/800,800
V90/2000/GS,2000
V100/1800,1800
V100/1800/GS,1800
V117/3600,3600
SCD168/8000,8000
E/126/7500,7500
