wind_speed,knorr_mean,knorr_extreme1,knorr_extreme2,knorr_extreme3
0,1,1,1,1
0.0224,1,1,0.999963,1
0.0455,1,1,0.999816,1
0.057,1,0.999989,0.999742,1
0.0732,0.999999,0.999881,0.999638,0.999989
0.5068,0.999823,0.996984,0.996865,0.993882
0.6916,0.999749,0.995749,0.995252,0.99128
0.7138,0.99974,0.995601,0.995058,0.991026
1.2223,0.999521,0.992203,0.990616,0.985212
1.2566,0.999506,0.991973,0.990317,0.984816
1.3177,0.99948,0.991565,0.989859,0.98411
1.7754,0.997956,0.988507,0.986439,0.978832
1.776,0.997952,0.988502,0.986434,0.978824
1.9831,0.996783,0.987118,0.984886,0.975828
1.9832,0.996782,0.98711,0.984885,0.975827
2.0298,0.996519,0.983851,0.981121,0.975152
2.1453,0.995867,0.97578,0.971801,0.96455
2.2697,0.995165,0.967089,0.962421,0.953133
2.3187,0.994777,0.963662,0.958723,0.948632
2.562,0.992851,0.946258,0.940367,0.926289
2.6554,0.992112,0.939576,0.933232,0.917711
2.7823,0.991108,0.9305,0.923541,0.906872
2.8742,0.989766,0.923931,0.916527,0.899027
2.9903,0.98807,0.913399,0.907657,0.889105
3.0029,0.987887,0.912261,0.904739,0.888033
3.0132,0.987736,0.911326,0.902342,0.886818
3.112,0.986293,0.892128,0.879376,0.875173
3.1887,0.984676,0.877224,0.861547,0.866132
3.2694,0.982975,0.861546,0.844662,0.856622
3.4321,0.979547,0.829003,0.810629,0.837454
3.4967,0.978185,0.816066,0.797099,0.828746
3.5967,0.975045,0.79607,0.776188,0.815286
3.6984,0.971851,0.775724,0.755017,0.80159
3.8764,0.969173,0.740104,0.717953,0.777613
4.0048,0.967242,0.714419,0.687958,0.760323
4.0126,0.967125,0.712858,0.687922,0.759273
4.0151,0.967088,0.712368,0.68791,0.759185
4.0727,0.966221,0.712367,0.687644,0.757114
4.074,0.966202,0.712387,0.687638,0.757067
4.1197,0.965515,0.713098,0.68843,0.755428
4.449,0.966778,0.71823,0.69415,0.743597
4.5902,0.965749,0.720429,0.696601,0.738526
4.7969,0.964242,0.723649,0.70019,0.730355
4.9252,0.964389,0.725649,0.702419,0.725281
5.4557,0.964995,0.733914,0.71163,0.715213
6.0207,0.965562,0.742717,0.721441,0.704489
6.0887,0.96563,0.743776,0.721013,0.703198
6.206,0.965748,0.742924,0.720274,0.700971
7.0026,0.965036,0.737138,0.715257,0.685853
7.0345,0.965007,0.736906,0.715056,0.685716
7.0356,0.965006,0.736922,0.715049,0.685711
7.0663,0.964979,0.737346,0.715473,0.685579
7.5603,0.96624,0.744183,0.72231,0.683453
7.6808,0.966502,0.74585,0.723977,0.682934
8.0058,0.967209,0.750348,0.730065,0.681536
8.0724,0.967354,0.751269,0.731312,0.681857
8.1059,0.967427,0.751733,0.732176,0.682019
8.2557,0.967753,0.75537,0.736036,0.682742
8.9625,0.969462,0.772534,0.754253,0.686153
9.2988,0.970275,0.780699,0.76292,0.689181
9.8331,0.972059,0.793675,0.776692,0.693995
9.8916,0.972254,0.79513,0.778199,0.694521
10.2186,0.973346,0.803272,0.787105,0.697467
10.4333,0.974062,0.808616,0.79295,0.701084
10.7428,0.975093,0.81632,0.801378,0.706299
10.9047,0.975632,0.820698,0.805789,0.709029
11.0134,0.975995,0.823637,0.809595,0.710861
11.2148,0.976665,0.829079,0.816644,0.715853
11.4946,0.977597,0.838253,0.826439,0.72279
11.9461,0.979697,0.853058,0.842245,0.733985
12.032,0.980096,0.855874,0.845251,0.736623
12.4583,0.982079,0.869422,0.860177,0.749722
12.7404,0.983391,0.878384,0.868803,0.758387
12.8952,0.984111,0.883306,0.87354,0.763659
13.0684,0.984916,0.887875,0.878837,0.769554
13.2877,0.985936,0.893661,0.884796,0.777019
13.3788,0.986139,0.896064,0.887271,0.78012
13.6671,0.986779,0.903269,0.895104,0.789934
13.855,0.987197,0.907965,0.899678,0.796331
13.9085,0.987348,0.909301,0.90098,0.798151
14.0471,0.987739,0.911306,0.904354,0.802869
14.4154,0.988778,0.916635,0.910804,0.815407
14.6115,0.989331,0.920078,0.91424,0.822083
14.6601,0.989468,0.920932,0.914974,0.82374
14.8876,0.989836,0.924926,0.918409,0.831484
14.9846,0.989993,0.926118,0.919872,0.834784
15.1184,0.990209,0.927764,0.921892,0.838841
15.464,0.990769,0.932015,0.925877,0.849321
15.5934,0.990978,0.933606,0.927754,0.853244
15.6135,0.991004,0.933853,0.928044,0.853852
15.9479,0.991437,0.937165,0.932892,0.863991
15.963,0.991457,0.937314,0.933037,0.864449
16.5469,0.992213,0.943097,0.938643,0.879906
16.5634,0.992235,0.943223,0.938801,0.880342
16.9274,0.992584,0.94602,0.942295,0.889979
16.9992,0.992653,0.946571,0.942807,0.89188
17.5841,0.993215,0.951064,0.946976,0.901493
17.6065,0.993237,0.951211,0.947136,0.901861
17.9208,0.993376,0.953281,0.949376,0.907027
18.4026,0.99359,0.956456,0.95281,0.914099
18.7229,0.993732,0.958565,0.954442,0.9188
18.8173,0.993852,0.959188,0.954923,0.920186
19.0613,0.994162,0.960258,0.956166,0.923767
19.7111,0.994988,0.963109,0.959476,0.930075
20.0278,0.99505,0.964499,0.96109,0.93315
20.0507,0.995054,0.9646,0.96116,0.933372
20.2597,0.995095,0.965192,0.961801,0.935401
20.9556,0.995229,0.967162,0.963934,0.939966
21.169,0.995665,0.967767,0.964588,0.941366
21.3418,0.996017,0.968256,0.965201,0.942499
21.4497,0.996237,0.968506,0.965583,0.943207
21.6197,0.996235,0.9689,0.966186,0.944322
22.255,0.996229,0.970371,0.968438,0.947411
22.4255,0.996382,0.970766,0.969043,0.948241
22.7136,0.996641,0.971433,0.969724,0.949642
23.2565,0.997128,0.973058,0.971009,0.952282
23.3713,0.997231,0.973401,0.971281,0.952723
23.5667,0.997499,0.973986,0.971743,0.953474
23.9203,0.997985,0.975044,0.972545,0.954831
23.9355,0.99798,0.97509,0.972579,0.95489
24.4774,0.997796,0.975909,0.973808,0.95697
24.689,0.997724,0.976228,0.974306,0.957783
24.9086,0.998481,0.97656,0.974822,0.958626
24.9501,0.998625,0.976623,0.97492,0.958785
24.9846,0.998744,0.976675,0.975001,0.958918
25,0.998787,0.976694,0.975031,0.958965
